,ARTIST,Rank,TITLE,Year,ARTIST_Full
818,Timbaland,21,Give It To Me,2007.0,Timbaland feat. Nelly Furtado & Justin Timberlake
819,Justin Timberlake,22,What Goes Around…Comes Around,2007.0,Justin Timberlake
820,Gym Class Heroes,23,Cupid’s Chokehold/Breakfast In America,2007.0,Gym Class Heroes feat. Patrick Stump
821,The Fray,24,How To Save A Life,2007.0,The Fray
822,Daughtry,25,Home,2007.0,Daughtry
823,Justin Timberlake,26,My Love,2007.0,Justin Timberlake feat. T.I.
824,Kanye West,27,Stronger,2007.0,Kanye West
825,Jim Jones,28,We Fly High,2007.0,Jim Jones
826,Pink,29,U + Ur Hand,2007.0,Pink
827,Unk,30,Walk It Out,2007.0,Unk
828,Sean Kingston,31,Beautiful Girls,2007.0,Sean Kingston
829,Fall Out Boy,32,"This Ain’t A Scene, It’s An Arms Race",2007.0,Fall Out Boy
830,T-Pain,33,Bartender,2007.0,T-Pain feat. Akon
831,Huey,34,"Pop, Lock & Drop It",2007.0,Huey
832,Ludacris,35,Runaway Love,2007.0,Ludacris feat. Mary J. Blige
833,Nickelback,36,Rockstar,2007.0,Nickelback
834,Fall Out Boy,37,Thnks Fr Th Mmrs,2007.0,Fall Out Boy
835,Linkin Park,38,What I’ve Done,2007.0,Linkin Park
836,Justin Timberlake,39,Summer Love,2007.0,Justin Timberlake
837,Lloyd,40,You,2007.0,Lloyd feat. Lil’ Wayne
838,Elliott Yamin,41,Wait For You,2007.0,Elliott Yamin
839,Diddy,42,Last Night,2007.0,Diddy feat. Keyshia Cole
840,Fat Joe,43,Make It Rain,2007.0,Fat Joe feat. Lil Wayne
841,Fabolous,44,Make Me Better,2007.0,Fabolous feat. Ne-Yo
842,Omarion,45,Ice Box,2007.0,Omarion
843,Hinder,46,Lips Of An Angel,2007.0,Hinder
844,John Mayer,47,Waiting On The World To Change,2007.0,John Mayer
845,Robin Thicke,48,Lost Without U,2007.0,Robin Thicke
846,R. Kelly Or Bow Wow (feat. T.I. & T-Pain),49,I’m A Flirt,2007.0,R. Kelly Or Bow Wow (feat. T.I. & T-Pain)
847,Nickelback,50,If Everyone Cared,2007.0,Nickelback
848,Lloyd,51,Get It Shawty,2007.0,Lloyd
849,The Red Jumpsuit Apparatus,52,Face Down,2007.0,The Red Jumpsuit Apparatus
850,Baby Boy Da Prince,53,The Way I Live,2007.0,Baby Boy Da Prince feat. Lil Boosie
851,Bow Wow,54,Shortie Like Mine,2007.0,Bow Wow feat. Chris Brown & Johnta Austin
852,The All-American Rejects,55,It Ends Tonight,2007.0,The All-American Rejects
853,Hurricane Chris,56,A Bay Bay,2007.0,Hurricane Chris
854,Ne-Yo,57,Because Of You,2007.0,Ne-Yo
855,Bone Thugs-N-Harmony,58,I Tried,2007.0,Bone Thugs-N-Harmony feat. Akon
856,My Chemical Romance,59,Welcome To The Black Parade,2007.0,My Chemical Romance
857,Plies,60,Shawty,2007.0,Plies feat. T-Pain
858,Snow Patrol,61,Chasing Cars,2007.0,Snow Patrol
859,Beyonce & Shakira,62,Beautiful Liar,2007.0,Beyonce & Shakira
860,Justin Timberlake,63,Sexyback,2007.0,Justin Timberlake
861,Avril Lavigne,64,Keep Holding On,2007.0,Avril Lavigne
862,Keyshia Cole,65,Let It Go,2007.0,Keyshia Cole feat. Missy Elliott & Lil Kim
863,Timbaland,66,Apologize,2007.0,Timbaland feat. OneRepublic
864,Colbie Caillat,67,Bubbly,2007.0,Colbie Caillat
865,Ciara,68,Like A Boy,2007.0,Ciara
866,Pink,69,Who Knew,2007.0,Pink
867,Kelly Clarkson,70,Never Again,2007.0,Kelly Clarkson
868,Ciara,71,Promise,2007.0,Ciara
869,J. Holiday,72,Bed,2007.0,J. Holiday
870,Rich Boy,73,Throw Some D’s,2007.0,Rich Boy feat. Polow Da Don
871,Amy Winehouse,74,Rehab,2007.0,Amy Winehouse
872,T.I.,75,Big Things Poppin’ (Do It),2007.0,T.I.
873,Alicia Keys,76,No One,2007.0,Alicia Keys
874,Boys Like Girls,77,The Great Escape,2007.0,Boys Like Girls
875,Unk,78,2 Step,2007.0,Unk
876,Paula DeAnda,79,Walk Away (Remember Me),2007.0,Paula DeAnda feat. The DEY
877,Young Jeezy,80,Go Getta,2007.0,Young Jeezy feat. R. Kelly
878,Hellogoodbye,81,Here (In Your Arms),2007.0,Hellogoodbye
879,Pretty Ricky,82,On The Hotline,2007.0,Pretty Ricky
880,Gwen Stefani,83,Wind It Up,2007.0,Gwen Stefani
881,Baby Bash,84,Cyclone,2007.0,Baby Bash feat. T-Pain
882,Rihanna & Sean Paul,85,Break It Off,2007.0,Rihanna & Sean Paul
883,Lifehouse,86,First Time,2007.0,Lifehouse
884,50 Cent,87,Ayo Technology,2007.0,50 Cent feat. Justin Timberlake & Timbaland
885,Bow Wow,88,Outta My System,2007.0,Bow Wow feat. T-Pain & Johnta Austin
886,Taylor Swift,89,Teardrops On My Guitar,2007.0,Taylor Swift
887,Rihanna,90,Shut Up And Drive,2007.0,Rihanna
888,Red Hot Chili Peppers,91,Snow ((Hey Oh)),2007.0,Red Hot Chili Peppers
889,Ludacris,92,Money Maker,2007.0,Ludacris feat. Pharrell
890,Chris Brown,93,Kiss Kiss,2007.0,Chris Brown feat. T-Pain
891,Nickelback,94,Far Away,2007.0,Nickelback
892,Crime Mob,95,Rock Yo Hips,2007.0,Crime Mob feat. Lil Scrappy
893,Justin Timberlake,96,Lovestoned,2007.0,Justin Timberlake
894,Hinder,97,Better Than Me,2007.0,Hinder
895,Finger Eleven,98,Paralyzer,2007.0,Finger Eleven
896,Snoop Dogg,99,That’s That,2007.0,Snoop Dogg feat. R. Kelly
897,R. Kelly and Usher,100,Same Girl,2007.0,R. Kelly and Usher
898,Daniel Powter,1,Bad Day,2006.0,Daniel Powter
899,Sean Paul,2,Temperature,2006.0,Sean Paul
900,Nelly Furtado,3,Promiscuous,2006.0,Nelly Furtado feat. Timbaland
901,James Blunt,4,You’re Beautiful,2006.0,James Blunt
902,Shakira,5,Hips Don’t Lie,2006.0,Shakira feat. Wyclef Jean
903,Natasha Bedingfield,6,Unwritten,2006.0,Natasha Bedingfield
904,Gnarls Barkley,7,Crazy,2006.0,Gnarls Barkley
905,Chamillionaire,8,Ridin’,2006.0,Chamillionaire feat. Krayzie Bone
906,Justin Timberlake,9,Sexyback,2006.0,Justin Timberlake
907,Beyonce,10,Check on It,2006.0,Beyonce feat. Slim Thug
908,Mary J. Blige,11,Be without You,2006.0,Mary J. Blige
909,Nelly,12,Grillz,2006.0,"Nelly feat. Paul Wall, Ali and Gipp"
910,The Fray,13,Over My Head (Cable Car),2006.0,The Fray
911,Cassie,14,Me & U,2006.0,Cassie
912,The Pussycat Dolls,15,Buttons,2006.0,The Pussycat Dolls feat. Snoop Dogg
913,Chris Brown,16,Run It!,2006.0,Chris Brown
914,Ne-Yo,17,So Sick,2006.0,Ne-Yo
915,Yung Joc,18,It’s Goin’ Down,2006.0,Yung Joc
916,Rihanna,19,SOS,2006.0,Rihanna
917,Panic! At The Disco,20,I Write Sins not Tragedies,2006.0,Panic! At The Disco
918,The All-American Rejects,21,Move Along,2006.0,The All-American Rejects
919,Fergie,22,London Bridge,2006.0,Fergie
920,Red Hot Chili Peppers,23,Dani California,2006.0,Red Hot Chili Peppers
921,Lil Jon,24,Snap Yo Fingers,2006.0,Lil Jon feat. E-40 and Sean Paul Of The YoungBloodZ
922,Dem Franchize Boyz,25,"Lean Wit It, Rock Wit It",2006.0,Dem Franchize Boyz feat. Lil Peanut and Charlay
923,Rascal Flatts,26,What Hurts the Most,2006.0,Rascal Flatts
924,The Fray,27,How to Save a Life,2006.0,The Fray
925,Rihanna,28,Unfaithful,2006.0,Rihanna
926,Snow Patrol,29,Chasing Cars,2006.0,Snow Patrol
927,Hinder,30,Lips of an Angel,2006.0,Hinder
928,Cascada,31,Everytime We Touch,2006.0,Cascada
929,Christina Aguilera,32,Ain’t no Other Man,2006.0,Christina Aguilera
930,Fall Out Boy,33,"Dance, Dance",2006.0,Fall Out Boy
931,Kanye West,34,Gold Digger,2006.0,Kanye West feat. Jamie Foxx
932,Ludacris,35,Money Maker,2006.0,Ludacris feat. Pharrell
933,Bubba Sparxxx,36,Ms. New Booty,2006.0,Bubba Sparxxx feat. Ying Yang Twins and Mr. ColliPark
934,Sean Paul,37,(When You Gonna) Give It Up To Me,2006.0,Sean Paul feat. Keyshia Cole
935,Nickelback,38,Photograph,2006.0,Nickelback
936,Kelly Clarkson,39,Because of You,2006.0,Kelly Clarkson
937,The Pussycat Dolls,40,Stickwitu,2006.0,The Pussycat Dolls
938,T-Pain,41,I’n N Luv (Wit a Stripper),2006.0,T-Pain feat. Mike Jones
939,The Black Eyed Peas,42,My Humps,2006.0,The Black Eyed Peas
940,Fort Minor,43,Where’d You Go,2006.0,Fort Minor feat. Holly Brook
941,Chris Brown,44,Yo (Excuse Me Miss),2006.0,Chris Brown
942,Kelly Clarkson,45,Walk Away,2006.0,Kelly Clarkson
943,D4L,46,Laffy Taffy,2006.0,D4L
944,T.I.,47,What you Know,2006.0,T.I.
945,The All-American Rejects,48,Dirty Little Secret,2006.0,The All-American Rejects
946,Nickelback,49,Savin’ Me,2006.0,Nickelback
947,Mariah Carey,50,Don’t Forget About Us,2006.0,Mariah Carey
948,Ne-Yo,51,Sexy Love,2006.0,Ne-Yo
949,E-40,52,U and Dat,2006.0,E-40 feat. T-Pain and Kandi Girl
950,Nickelback,53,Far Away,2006.0,Nickelback
951,Nick Lachey,54,What’s Left of Me,2006.0,Nick Lachey
952,Field Mob,55,So What,2006.0,Field Mob feat. Ciara
953,Cherish,56,Do it to It,2006.0,Cherish feat. Sean Paul Of The YoungBloodZ
954,KT Tunstall,57,Black Horse & the Cherry Tree,2006.0,KT Tunstall
955,Juelz Santana,58,There it Go! (The Whistle Song),2006.0,Juelz Santana
956,Young Dro,59,Shoulder Lean!,2006.0,Young Dro feat. T.I.
957,Jamie Foxx,60,Unpredictable,2006.0,Jamie Foxx feat. Ludacris
958,Justin Timberlake,61,My Love,2006.0,Justin Timberlake feat. T.I.
959,Eminem,62,Shake That,2006.0,Eminem feat. Nate Dogg
960,Chingy,63,Pullin’ Me Back,2006.0,Chingy feat. Tyrese
961,Kelis,64,Bossy,2006.0,Kelis feat. Too $hort
962,Jibbs,65,Chain Hang Low,2006.0,Jibbs
963,Akon,66,Smack That,2006.0,Akon feat. Eminem
964,Ray J,67,One Wish,2006.0,Ray J
965,Fall Out Boy,68,Sugar We’re Goin’ Down,2006.0,Fall Out Boy
966,Chris Brown,69,Gimme That,2006.0,Chris Brown feat. Lil’ Wayne
967,Yung Joc,70,I Know You See It,2006.0,Yung Joc feat. Brandy ‘Ms. B.’ Hambrick
968,Bon Jovi,71,Who Says you can’t Go Home,2006.0,Bon Jovi
969,JoJo,72,Too Little Too Late,2006.0,JoJo
970,Busta Rhymes,73,Touch It,2006.0,Busta Rhymes
971,Daddy Yankee,74,Rompe,2006.0,Daddy Yankee
972,Beyonce,75,Deja Vu,2006.0,Beyonce feat. Jay-Z
973,Rascal Flatts,76,Life is a Highway,2006.0,Rascal Flatts
974,Evanescence,77,Call me When You’re Sober,2006.0,Evanescence
975,Carrie Underwood,78,"Jesus, take the Wheel",2006.0,Carrie Underwood
976,Danity Kane,79,Show Stopper,2006.0,Danity Kane
977,Ciara,80,Get Up,2006.0,Ciara feat. Chamillionaire
978,Sean Paul,81,We be Burnin’,2006.0,Sean Paul
979,Blue October,82,Hate Me,2006.0,Blue October
980,Lifehouse,83,You and Me,2006.0,Lifehouse
981,The Pussycat Dolls,84,Beep,2006.0,The Pussycat Dolls feat. will.i.am
982,Dem Franchize Boyz,85,I Think They Like Me,2006.0,"Dem Franchize Boyz feat. Jermaine Dupri, Da Brat and Bow Wow"
983,Chris Brown,86,Say Goodbye,2006.0,Chris Brown
984,John Mayer,87,Waiting on the World to Change,2006.0,John Mayer
985,Young Jeezy,88,Soul Survivor,2006.0,Young Jeezy feat. Akon
986,The Black Eyed Peas,89,Pump It,2006.0,The Black Eyed Peas
987,Eminem,90,When I’m Gone,2006.0,Eminem
988,Madonna,91,Hung Up,2006.0,Madonna
989,Three 6 Mafia,92,Stay Fly,2006.0,Three 6 Mafia feat. Young Buck and Eightball and MJG
990,Keyshia Cole,93,Love,2006.0,Keyshia Cole
991,Ne-Yo,94,When You’re Mad,2006.0,Ne-Yo
992,T.I.,95,Why You Wanna,2006.0,T.I.
993,Pink,96,Stupid Girls,2006.0,Pink
994,Gorillaz,97,Feel Good Inc,2006.0,Gorillaz
995,T-Pain,98,I’m Sprung,2006.0,T-Pain
996,Taylor Hicks,99,Do I Make you Proud,2006.0,Taylor Hicks
997,Teddy Geiger,100,For You I Will (Condience),2006.0,Teddy Geiger
998,Mariah Carey,1,We Belong Together,2005.0,Mariah Carey
999,Gwen Stefani,2,Hollaback Girl,2005.0,Gwen Stefani
1000,Mario,3,Let Me Love You,2005.0,Mario
1001,Kelly Clarkson,4,Since U Been Gone,2005.0,Kelly Clarkson
1002,Ciara,5,"1, 2 Step",2005.0,Ciara feat. Missy Elliott
1003,Kanye West,6,Gold Digger,2005.0,Kanye West feat. Jamie Foxx
1004,Green Day,7,Boulevard of Broken Dreams,2005.0,Green Day
1005,50 Cent,8,Candy Shop,2005.0,50 Cent feat. Olivia
1006,The Pussycat Dolls,9,Don’t Cha,2005.0,The Pussycat Dolls feat. Busta Rhymes
1007,Kelly Clarkson,10,Behind These Hazel Eyes,2005.0,Kelly Clarkson
1008,50 Cent,11,Disco Inferno,2005.0,50 Cent
1009,Lifehouse,12,You and Me,2005.0,Lifehouse
1010,The Black Eyed Peas,13,Don’t Phunk With My Heart,2005.0,The Black Eyed Peas
1011,Missy Elliott,14,Lose Control,2005.0,Missy Elliott feat. Ciara and Fat Man Scoop
1012,Mariah Carey,15,Shake it Off,2005.0,Mariah Carey
1013,The Killers,16,Mr. Brightside,2005.0,The Killers
1014,50 Cent,17,Just a Lil Bit,2005.0,50 Cent
1015,Rihanna,18,Pon de Replay,2005.0,Rihanna
1016,The Game,19,How We Do,2005.0,The Game feat. 50 Cent
1017,Weezer,20,Beverly Hills,2005.0,Weezer
1018,Ciara,21,Oh,2005.0,Ciara feat. Ludacris
1019,Rob Thomas,22,Lonely No More,2005.0,Rob Thomas
1020,Snoop Dogg,23,Drop it Like It’s Hot,2005.0,Snoop Dogg feat. Pharrell
1021,The Game,24,Hate It or Love It,2005.0,The Game feat. 50 Cent
1022,Lil Jon and The East Side Boyz,25,Lovers and Friends,2005.0,Lil Jon and The East Side Boyz feat. Usher and Ludacris
1023,Destiny’s Child,26,Soldier,2005.0,Destiny’s Child feat. T.I. and Lil Wayne
1024,Kelly Clarkson,27,Breakaway,2005.0,Kelly Clarkson
1025,Will Smith,28,Switch,2005.0,Will Smith
1026,Bow Wow,29,Let Me HOld You,2005.0,Bow Wow feat. Omarion
1027,Bow Wow,30,Like You,2005.0,Bow Wow feat. Ciara
1028,Gwen Stefani,31,Rich Girl,2005.0,Gwen Stefani feat. Eve
1029,The Black Eyed Peas,32,My Humps,2005.0,The Black Eyed Peas
1030,Frankie J,33,Obsession (No Es Amor),2005.0,Frankie J feat. Baby Bash
1031,Usher,34,Caught Up,2005.0,Usher
1032,D.H.T.,35,Listen to your Heart,2005.0,D.H.T.
1033,Papa Roach,36,Scars,2005.0,Papa Roach
1034,Gorillaz,37,Feel Good Inc,2005.0,Gorillaz
1035,3 Doors Down,38,Let Me Go,2005.0,3 Doors Down
1036,Green Day,39,Holiday,2005.0,Green Day
1037,Fall Out Boy,40,"Sugar, we’re Goin’ Down",2005.0,Fall Out Boy
1038,Pretty Ricky,41,Grind With Me,2005.0,Pretty Ricky
1039,Chris Brown,42,Run It!,2005.0,Chris Brown
1040,Nickelback,43,Photograph,2005.0,Nickelback
1041,Akon,44,Lonely,2005.0,Akon
1042,Howie Day,45,Collide,2005.0,Howie Day
1043,Green Day,46,Wake Me up When September Ends,2005.0,Green Day
1044,Bobby Valentino,47,Slow Down,2005.0,Bobby Valentino
1045,Nelly,48,Over and Over,2005.0,Nelly feat. Tim McGraw
1046,Trillville,49,Some Cut,2005.0,Trillville feat. Cutty
1047,Fat Joe,50,Get it Poppin’,2005.0,Fat Joe feat. Nelly
1048,David Banner,51,Play,2005.0,David Banner
1049,Young Jeezy,52,Soul Survivor,2005.0,Young Jeezy feat. Akon
1050,Ludacris,53,Pimpin’ All Over the World,2005.0,Ludacris feat. Bobby Valentino
1051,Usher And Alicia Keys,54,My Boo,2005.0,Usher And Alicia Keys
1052,Trick Daddy,55,Sugar (Gimme Some),2005.0,"Trick Daddy feat. Ludacris, Lil’ Kim and Cee-Lo"
1053,Alicia Keys,56,Karma,2005.0,Alicia Keys
1054,Coldplay,57,Speed of Sound,2005.0,Coldplay
1055,Gavin DeGraw,58,I Don’t Want to Be,2005.0,Gavin DeGraw
1056,Eminem,59,Mockingbird,2005.0,Eminem
1057,Shakira,60,La Tortura,2005.0,Shakira feat. Alejandro Sanz
1058,Maroon5,61,She Will be Loved,2005.0,Maroon5
1059,Baby Bash,62,Baby I’m Back,2005.0,Baby Bash feat. Akon
1060,Ying Yang Twins,63,Wait (The Whisper Song),2005.0,Ying Yang Twins
1061,Backstreet Boys,64,Incomplete,2005.0,Backstreet Boys
1062,T.I.,65,Bring em Out,2005.0,T.I.
1063,Destiny’s Child,66,Cater 2 U,2005.0,Destiny’s Child
1064,Amerie,67,1 Thing,2005.0,Amerie
1065,Foo Fighters,68,Best of You,2005.0,Foo Fighters
1066,Mariah Carey,69,It’s Like That,2005.0,Mariah Carey
1067,Natalie,70,Goin’ Crazy,2005.0,Natalie
1068,Carrie Underwood,71,Inside your Heaven,2005.0,Carrie Underwood
1069,Kelly Clarkson,72,Because of You,2005.0,Kelly Clarkson
1070,Fantasia,73,Truth Is,2005.0,Fantasia
1071,Pretty Ricky,74,Your Body,2005.0,Pretty Ricky
1072,Jesse McCartney,75,Beautiful Soul,2005.0,Jesse McCartney
1073,Gwen Stefani,76,Cool,2005.0,Gwen Stefani
1074,Ludacris,77,Get Back,2005.0,Ludacris
1075,50 Cent,78,Outta Control (Remix),2005.0,50 Cent feat. Mobb Deep
1076,T.I.,79,U Don’t Know Me,2005.0,T.I.
1077,Natasha Bedingfield,80,These Words,2005.0,Natasha Bedingfield
1078,The Black Eyed Peas,81,Don’t Lie,2005.0,The Black Eyed Peas
1079,Jennifer Lopez,82,Get Right,2005.0,Jennifer Lopez
1080,John Mayer,83,Daughters,2005.0,John Mayer
1081,Toby Keith,84,As Good as I Once Was,2005.0,Toby Keith
1082,Brooke Valentine,85,Girlfight,2005.0,Brooke Valentine feat. Lil Jon and Big Boi
1083,Destiny’s Child,86,Lose My Breath,2005.0,Destiny’s Child
1084,John Legend,87,Ordinary People,2005.0,John Legend
1085,Sean Paul,88,We Be Burnin’,2005.0,Sean Paul
1086,The Click Five,89,Just the Girl,2005.0,The Click Five
1087,Ryan Cabrera,90,True,2005.0,Ryan Cabrera
1088,Omarion,91,O,2005.0,Omarion
1089,Mike Jones,92,Back Then,2005.0,Mike Jones
1090,Jay-Z/Linkin Park,93,Numb/Encore,2005.0,Jay-Z/Linkin Park
1091,Ja Rule,94,Wonderful,2005.0,Ja Rule feat. R. Kelly and Ashanti
1092,T-Pain,95,I’m Sprung,2005.0,T-Pain
1093,Gavin DeGraw,96,Chariot,2005.0,Gavin DeGraw
1094,112,97,U Already Know,2005.0,112 feat. Foxy Brown
1095,Faith Hill,98,Mississippi Girl,2005.0,Faith Hill
1096,Ludacris,99,Number One Spot,2005.0,Ludacris
1097,Webbie,100,Give Me That,2005.0,Webbie feat. Bun B
1098,Usher,1,Yeah!,2004.0,Usher feat. Lil Jon and Ludacris
1099,Usher,2,Burn,2004.0,Usher
1100,Alicia Keys,3,If I Ain’t Got You,2004.0,Alicia Keys
1101,Maroon5,4,This Love,2004.0,Maroon5
1102,OutKast,5,The Way You Move,2004.0,OutKast feat. Sleepy Brown
1103,Hoobastank,6,The Reason,2004.0,Hoobastank
1104,Mario Winans,7,I Don’t Wanna Know,2004.0,Mario Winans feat. Enya and P. Diddy
1105,OutKast,8,Hey Ya!,2004.0,OutKast
1106,Ciara,9,Goodies,2004.0,Ciara feat. Petey Pablo
1107,Terror Squad,10,Lean Back,2004.0,Terror Squad
1108,J-Kwon,11,Tipsy,2004.0,J-Kwon
1109,Usher,12,Confessions Part II,2004.0,Usher
1110,Juvenile,13,Slow Motion,2004.0,Juvenile feat. Soulja Slim
1111,Petey Pablo,14,Freek-a-Leek,2004.0,Petey Pablo
1112,3 Doors Down,15,Here Without You,2004.0,3 Doors Down
1113,Twista,16,Slow Jamz,2004.0,Twista feat. Kanye West and Jamie Foxx
1114,Nickelback,17,Someday,2004.0,Nickelback
1115,Beyonce,18,Naughty Girl,2004.0,Beyonce
1116,Evanescence,19,My Immortal,2004.0,Evanescence
1117,Lil’ Flip,20,Sunshine,2004.0,Lil’ Flip feat. Lea
1118,Jay-Z,21,Dirt Off Your Shoulder,2004.0,Jay-Z
1119,Nina Sky,22,Move Ya Body,2004.0,Nina Sky feat. Jabba
1120,Christina Milian,23,Dip It Low,2004.0,Christina Milian
1121,Usher And Alicia Keys,24,My Boo,2004.0,Usher And Alicia Keys
1122,Chingy,25,One Call Away,2004.0,Chingy feat. J. Weav
1123,Beyonce,26,"Me, Myself, and I",2004.0,Beyonce
1124,Kevin Lyttle,27,Turn Me On,2004.0,Kevin Lyttle feat. Spragga Benz
1125,Sheryl Crow,28,The First Cut Is The Deepest,2004.0,Sheryl Crow
1126,Alicia Keys,29,You Don’t Know My Name,2004.0,Alicia Keys
1127,Nelly,30,My Place,2004.0,Nelly feat. Jaheim
1128,Twista,31,Overnight Celebrity,2004.0,Twista
1129,Cassidy,32,Hotel,2004.0,Cassidy feat. R. Kelly
1130,Linkin Park,33,Numb,2004.0,Linkin Park
1131,Alicia Keys,34,Diary,2004.0,Alicia Keys feat. Tony! Toni! Tone!
1132,Maroon 5,35,She Will be Loved,2004.0,Maroon 5
1133,Dido,36,White Flag,2004.0,Dido
1134,Los Lonely Boys,37,Heaven,2004.0,Los Lonely Boys
1135,No Doubt,38,It’s My Life,2004.0,No Doubt
1136,Ashlee Simpson,39,Pieces of Me,2004.0,Ashlee Simpson
1137,JoJo,40,Leave (Get Out),2004.0,JoJo
1138,Kelis,41,Milkshake,2004.0,Kelis
1139,Ludacris,42,Splash Waterfalls,2004.0,Ludacris
1140,Kanye West,43,Jesus Walks,2004.0,Kanye West
1141,Akon,44,Locked Up,2004.0,Akon feat. Styles P.
1142,Ludacris,45,Stand Up,2004.0,Ludacris feat. Shawnna
1143,Baby Bash,46,Suga Suga,2004.0,Baby Bash feat. Frankie J
1144,Kanye West,47,All Falls Down,2004.0,Kanye West feat. Syleena Johnson
1145,Britney Spears,48,Toxic,2004.0,Britney Spears
1146,Ying Yang Twins,49,Salt Shaker,2004.0,Ying Yang Twins feat. Lil Jon and The East Side Boyz
1147,Jessica Simpson,50,With You,2004.0,Jessica Simpson
1148,Switchfoot,51,Meant to Live,2004.0,Switchfoot
1149,Houston,52,I Like That,2004.0,"Houston feat. Chingy, Nate Dogg and I-20"
1150,Ruben Studdard,53,Sorry 2004,2004.0,Ruben Studdard
1151,Avril Lavigne,54,My Happy Ending,2004.0,Avril Lavigne
1152,Lloyd Banks,55,On Fire,2004.0,Lloyd Banks
1153,OutKast,56,Roses,2004.0,OutKast
1154,Jagged Edge,57,Walker outta Heaven,2004.0,Jagged Edge
1155,Destiny’s Child,58,Lose My Breath,2004.0,Destiny’s Child
1156,D12,59,My Band,2004.0,D12
1157,Sean Paul,60,I’m Still in Love with You,2004.0,Sean Paul feat. Sasha
1158,Kanye West,61,Through the Wire,2004.0,Kanye West
1159,Jadakiss,62,Why?,2004.0,Jadakiss feat. Anthony Hamilton
1160,Eamon,63,F**k It (I Don’t Want you Back),2004.0,Eamon
1161,Avant,64,Read your Mind,2004.0,Avant
1162,Lil’ Flip,65,Game Over (Flip),2004.0,Lil’ Flip
1163,Finger Eleven,66,One Thing,2004.0,Finger Eleven
1164,LL Cool J,67,Headsprung,2004.0,LL Cool J
1165,YoungBloodZ,68,Damn!,2004.0,YoungBloodZ feat. Lil Jon
1166,Beyonce,69,Baby Boy,2004.0,Beyonce feat. Sean Paul
1167,Lil Jon and The East Side Boyz,70,Get Low,2004.0,Lil Jon and The East Side Boyz feat. Ying Yang Twins
1168,Snoop Dogg,71,Drop it Like it’s Hot,2004.0,Snoop Dogg feat. Pharrell
1169,Monica,72,U Should’ve Known Better,2004.0,Monica
1170,Ryan Cabrera,73,On the Way Down,2004.0,Ryan Cabrera
1171,Kelly Clarkson,74,Breakaway,2004.0,Kelly Clarkson
1172,Santana,75,Why Don’t you & I,2004.0,Santana feat. Alex Band Or Chad Kroeger
1173,Jet,76,Are You Gonna Be My Girl,2004.0,Jet
1174,Five For Fighting,77,100 Years,2004.0,Five For Fighting
1175,R. Kelly,78,Step In The Name Of Love,2004.0,R. Kelly
1176,Linkin Park,79,Breaking the Habit,2004.0,Linkin Park
1177,Nick Cannon,80,Gigolo,2004.0,Nick Cannon feat. R. Kelly
1178,Tim McGraw,81,Live Like You Were Dying,2004.0,Tim McGraw
1179,Alan Jackson,82,Remember When,2004.0,Alan Jackson
1180,Britney Spears,83,Everytime,2004.0,Britney Spears
1181,Lloyd,84,Southside,2004.0,Lloyd feat. Ashanti
1182,Beenie Man,85,Dude,2004.0,Beenie Man feat. Ms. Thing
1183,G-Unit,86,Wanna Get To Know You,2004.0,G-Unit feat. Joe
1184,Chingy,87,Holidae In,2004.0,Chingy feat. Ludacris and Snoop Dogg
1185,Black Eyed Peas,88,Let’s Get It Started,2004.0,Black Eyed Peas
1186,Kenny Chesney and Uncle Kracker,89,When the Sun Goes Down,2004.0,Kenny Chesney and Uncle Kracker
1187,Toby Keith,90,American Soldier,2004.0,Toby Keith
1188,Jay-Z,91,Change Clothes,2004.0,Jay-Z
1189,Avril Lavigne,92,Don’t Tell Me,2004.0,Avril Lavigne
1190,Keith Urban,93,You’ll Think of Me,2004.0,Keith Urban
1191,R. Kelly,94,Happy People,2004.0,R. Kelly
1192,Black Eyed Peas,95,Hey Mama,2004.0,Black Eyed Peas
1193,Nelly,96,Over and Over,2004.0,Nelly feat. Tim McGraw
1194,Gretchen Wilson,97,Redneck Woman,2004.0,Gretchen Wilson
1195,Eminem,98,Just Lose It,2004.0,Eminem
1196,John Michael Montgomery,99,Letters from Home,2004.0,John Michael Montgomery
1197,Kenny Chesney,100,I Go Back,2004.0,Kenny Chesney
1198,50 Cent,1,In Da Club,2003.0,50 Cent
1199,R. Kelly,2,Ignition,2003.0,R. Kelly
1200,Sean Paul,3,Get Busy,2003.0,Sean Paul
1201,Beyonce,4,Crazy in Love,2003.0,Beyonce feat. Jay-Z
1202,3 Doors Down,5,When I’m Gone,2003.0,3 Doors Down
1203,matchbox twenty,6,Unwell,2003.0,matchbox twenty
1204,Chingy,7,Right Thurr,2003.0,Chingy
1205,Aaliyah,8,Miss You,2003.0,Aaliyah
1206,Kid Rock,9,Picture,2003.0,Kid Rock feat. Sheryl Crow
1207,Evanescence,10,Bring me to Life,2003.0,Evanescence feat. Paul McCoy
1208,Lil Jon and The East Side Boyz,11,Get Low,2003.0,Lil Jon and The East Side Boyz feat. Ying Yang Twins
1209,Beyonce,12,Baby Boy,2003.0,Beyonce feat. Sean Paul
1210,"Nelly, P. Diddy and Murphy Lee",13,Shake ya Tailfeather,2003.0,"Nelly, P. Diddy and Murphy Lee"
1211,50 Cent,14,21 Questions,2003.0,50 Cent feat. Nate Dogg
