THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
Love,Are You Ready For Love,Elton John,1979,http://open.spotify.com/track/6TNHLD7QyX5KxdYmNwwDA6
Love,Iâ€™m in the Mood Again,Elvis Costello,2003,http://open.spotify.com/track/5HWC5PWLas7xQsjQPoeDpo
Politics and protest,Tramp the Dirt Down,Elvis Costello,1989,http://open.spotify.com/track/2pvGHaskdT2ZrKlXCVr03g
Heartbreak,Either Side of the Same Town,Elvis Costello ,2004,http://open.spotify.com/track/1TDyLMqyVcFnN4Gwb2Lk25
Love,Jack of All Parades,Elvis Costello and the Attractions,1986,
Heartbreak,I Hope Youâ€™re Happy Now,Elvis Costello and the Attractions,1986,http://open.spotify.com/track/0lJeIRRrwRmnkRWpjai96c
Heartbreak,I Want You,Elvis Costello and the Attractions,1986,http://open.spotify.com/track/4LBnvKaSC9RqnFYA0LDIGt
Sex,I Want You,Elvis Costello and the Attractions,1986,http://open.spotify.com/track/4LBnvKaSC9RqnFYA0LDIGt
Sex,High Fidelity ,Elvis Costello and the Attractions,1980,http://open.spotify.com/track/0FKPuEwGl4zunq0HKcoxQ5
Life and death,My Three Sons,Elvis Costello and the Imposters,2008,http://open.spotify.com/track/42dcvzRNIHgvWpKhjyTOlL
Heartbreak,Always on My Mind,Elvis Presley,1972,http://open.spotify.com/track/7mm18MJI4UpSS2IfsId0qB
Heartbreak,Suspicious Minds,Elvis Presley,1969,http://open.spotify.com/track/21uqk0VElbm5bxCNTR3E6M
Politics and protest,In the Ghetto,Elvis Presley,1969,http://open.spotify.com/track/7na7MmpePvl0nErQIQteBG
Love,Canâ€™t Help Falling in Love,Elvis Presley,1961,http://open.spotify.com/track/3Aw5RpV5q1zn66ck2jOQjs
Love,Love Me Tender,Elvis Presley,1956,http://open.spotify.com/track/65An7RQuVbAipQIYhJu0YJ
People and places,Heartbreak Hotel,Elvis Presley,1956,http://open.spotify.com/track/4YpAvti84hmMqJwnAYawt5
Politics and protest,Role Model,Eminem,1999,http://open.spotify.com/track/3mUVtVZZJXmjZTUBvfQ4ik
People and places,Boulder to Birmingham,Emmylou Harris ,1975,http://open.spotify.com/track/3PAnJueYX2pM8Ig0xSnkbI
Politics and protest,And the Band Played Waltzing Matilda,Eric Bogle,1971,http://open.spotify.com/track/2bcpK9QU6cJW5PlEVQfBd5
Party songs,Last Night Changed It All,Esther Williams,1976,http://open.spotify.com/track/6zMgWeJracgip80YQZsIj2
Heartbreak,Iâ€™d Rather Go Blind,Etta James,1969,http://open.spotify.com/track/2xxX1FmYQk7P0I5stRyNsT
Sex,I Just Want to Make Love toÂ You,Etta James,1961,http://open.spotify.com/track/7A96l8P8UmFPhdu7pQ8SMe
Sex,Whoâ€™s That Girl?,Eurythmics,1983,http://open.spotify.com/track/0qO7FkKWdHPc1Si1Z2nLZm
Heartbreak,Missing (Todd Terry remix),Everything But the Girl,1995,http://open.spotify.com/track/0Y11QzoiLpdhPHAFcSJH9i
Politics and protest,The Ballad of Sharpeville,Ewan MacColl,1960,
Politics and protest,We Care a Lot,Faith No More,1985,http://open.spotify.com/track/2bg3JPk02VNXWxEnrWHbSL
Party songs,Be Faithful,Fatman Scoop featuring the Crooklyn Clan,1999,
Love,Blueberry Hill,Fats Domino,1956,http://open.spotify.com/track/25CTJ7xIrrWTHNtA7mq8Y6
Politics and protest,Zombie,Fela Kuti,1977,http://open.spotify.com/track/0tOqZJsRP90T91Jx4pzAjB
Party songs,Upside Down,Fela Kuti,1976,http://open.spotify.com/track/0dle66YE2om3mCgTguJLOK
Party songs,Doctor Love,First Choice,1977,
Party songs,The Gnu,Flanders and Swann,1959,http://open.spotify.com/track/52HRCPyzVqut2PK1IglGje
Heartbreak,Go Your Own Way,Fleetwood Mac,1977,http://open.spotify.com/track/5qg6DB7nxilzxxzalcpNU3
Party songs,Think About It (What Is Wrong With the World Today),Flight of the Conchords,2008,http://open.spotify.com/track/2X9FjhzcAdujUqalXXXD27
People and places,"New York, New York",Frank Sinatra,1980,http://open.spotify.com/track/4tMPwjAb9FYZ2HHgXj24LU
Love,Fly Me to the Moon,Frank Sinatra,1966,http://open.spotify.com/track/09ityNOMUHKZ1sldYGWRCk
Love,Get Me to the Church On Time,Frank Sinatra,1966,
Life and death,It Was a Very Good Year,Frank Sinatra,1965,http://open.spotify.com/track/5lDcHK1FUDAQnMrvMGsGvA
Heartbreak,Only the Lonely,Frank Sinatra,1958,http://open.spotify.com/track/3il33mhbtAFCpdBNvNyymr
Love,Love and Marriage,Frank Sinatra,1955,http://open.spotify.com/track/16y88kDkX8kgzFHMnXr33D
Love,Do I Love You (Indeed I Do),Frank Wilson,1966,http://open.spotify.com/track/6QtbZ4rI3fJRufeNyi19Nd
Love,The Power of Love,Frankie Goes to Hollywood,1984,http://open.spotify.com/track/2CUoxqW5bw2WOZPExmFvk1
Politics and protest,Two Tribes,Frankie Goes To Hollywood,1984,
Sex,Relax,Frankie Goes to Hollywood,1983,
Life and death,Walk Like a Man,Frankie Valli and the Four Seasons,1963,http://open.spotify.com/track/3ebFVCEIcB3zW9RbnHk28D
Party songs,One Nation Under a Groove,Funkadelic,"1,978.00",
People and places,Cars,Gary Numan,1979,http://open.spotify.com/track/3CKLPDN1AIOYa7QPpy6oDH
Life and death,All Things Must Pass,George Harrison,1970,
Party songs,Din Daa Daa,George Kranz,1984,
Party songs,Rock Your Baby,George McCrae,1974,http://open.spotify.com/track/1lmfsSEuxU4PpT739Kihno
Sex,Fastlove,George Michael,1996,http://open.spotify.com/track/5y0RtJTOSuy864erUivf0J
Sex,I Want Your Sex,George Michael,1987,http://open.spotify.com/track/4g4UjSFx9QCTt2mqJwr4fW
Life and death,Mind Playing Tricks On Me,Geto Boys,1991,
Party songs,The Bottle,Gil Scott-Heron,1974,http://open.spotify.com/track/4lgCSMpVERwvfa9A8tDXJQ
Politics and protest,Whitey On the Moon,Gil Scott-Heron,1970,http://open.spotify.com/track/0Ko176OJTtK3ubUtzdXINI
Life and death,Alone Again (Naturally),Gilbert Oâ€™Sullivan,1972,
Party songs,Biology,Girls Aloud,2005,http://open.spotify.com/track/5gVFOj7whQCfMoXNXePOIt
Heartbreak,Daddyâ€™s Gone,Glasvegas,2007,http://open.spotify.com/track/5Xkht48NOI9eirHjY7d87I
People and places,Galveston,Glen Campbell,1969,http://open.spotify.com/track/7GCNh1ibQiae8aimaEUOFq
Heartbreak,I Will Survive,Gloria Gaynor,1978,http://open.spotify.com/track/1lBbC5ez7W0VgrRGGeybTY
Heartbreak,Tainted Love,Gloria Jones,1964,
Party songs,Dare,Gorillaz,2005,http://open.spotify.com/track/4Hff1IjRbLGeLgFgxvHflk
Party songs,Williams Blood (Aeroplane remix),Grace Jones,2008,
Sex,Pull Up to the Bumper,Grace Jones,1981,http://open.spotify.com/track/3nkuemN1DlyHYZCk5eZYLn
Party songs,Nightclubbing,Grace Jones,1981,http://open.spotify.com/track/26aTdkjT06bukXYdJRuhtN
Love,La Vie En Rose,Grace Jones,1977,http://open.spotify.com/track/50SLOKltoko04YawlAjDeH
Heartbreak,"$1,000 Wedding",Gram Parsons,1974,http://open.spotify.com/track/53egTlbVDqNH2SRmZTknrC
Love,She,Gram Parsons,1973,http://open.spotify.com/track/0ik33iwk2do6Rf9rQs7e8X
Heartbreak,Love Hurts,Gram Parsons with Emmylou Harris,1974,http://open.spotify.com/track/51sT9Y2lXJocjVUhA5NFK1
Politics and protest,The Message,Grandmaster Flash and the Furious Five,1982,http://open.spotify.com/track/5DuTNKFEjJIySAyJH1yNDU
Party songs,White Lines (Donâ€™t Do It),Grandmaster Melle Mel,1983,
Politics and protest,American Idiot,Green Day,2004,http://open.spotify.com/track/6nTiIhLmQ3FWhvrGafw2zj
Love,Night Nurse,Gregory Isaacs,1982,http://open.spotify.com/track/2lPfcRMRLffiBTwLA9S8Vc
Sex,No Pussy Blues,Grinderman,2007,http://open.spotify.com/track/7hdfYPz4MaEcAH97E0S6vW
Love,Sweet Child Oâ€™ Mine,Guns Nâ€™ Roses,1987,http://open.spotify.com/track/5HzLcjDzlykkKC0rw2R6WJ
People and places,LA Freeway,Guy Clark,1975,http://open.spotify.com/track/0FIn08OKKHVRSFJfm6QBmS
Love,90% of Me is You,Gwen McRae,1974,http://open.spotify.com/track/4dz8fFVtr8dPMqGThk5Cbs
Life and death,These Important Years,HÃ_sker DÃ_,1987,http://open.spotify.com/track/3a70lhNaUyjEFp8LKlMpxU
Party songs,All I Want for Christmas Is a Dukla Prague Away Kit,Half Man Half Biscuit,1986,
Heartbreak,Sheâ€™s Gone,Halls and Oates,1973,
Party songs,Letâ€™s Start II Dance Again,Hamilton Bohannon,1981,
Heartbreak,"Cold, Cold Heart",Hank Williams,1951,http://open.spotify.com/track/56KLeNPhvXXyXGQ9TEYDCC
Life and death,My Son Calls Another ManÂ Daddy,Hank Williams,1950,http://open.spotify.com/track/5wZhj1LcXztboIh3T1VgMw
Life and death,Iâ€™m So Lonesome I Could Cry,Hank Williams,1949,http://open.spotify.com/track/3bAWaK1KyeFpww4xK8ztyO
Sex,Bobâ€™s Yer Uncle,Happy Mondays,1990,http://open.spotify.com/track/7p9Dw7RS1uTJubzRGRGHLV
Party songs,WFL (Think About the Future) ,Happy Mondays,1989,http://open.spotify.com/track/3xI5fXGrMMvn8EZIdYxW56
Politics and protest,(We Donâ€™t Need) This FascistÂ Groove Thang,Heaven 17,1981,http://open.spotify.com/track/05cKish3faAXVGK3B4wcwl
People and places,Just Like Eddie,Heinz,1963,http://open.spotify.com/track/3anKfvDNqW7dYBDEbmKzIn
Party songs,Rokit,Herbie Hancock,1983,
Life and death,Not On Top,Herman DÃ_ne,2005,
Love,Iâ€™m Into Something Good,Hermanâ€™s Hermits,1964,http://open.spotify.com/track/5tYLgBIbx3YVde84rRPNE9
Party songs,Over and Over,Hot Chip,2006,http://open.spotify.com/track/6m5D7zGVbzAxceDXQTsRSX
Sex,You Sexy Thing,Hot Chocolate,1975,http://open.spotify.com/track/3FJ86KB6nSQ1vTJbupZmmv
Party songs,Jump Around,House of Pain,1992,http://open.spotify.com/track/2oTDOIAdsxPTE7yAp4YOcv
Politics and protest,The Sun Is Burning,Ian Campbell Folk Group,1964,
People and places,Billericay Dickie,Ian Dury,1977,
Party songs,Hit Me With Your RhythmÂ Stick,Ian Dury and the Blockheads,1978,
Sex,Wake Up and Make Love With Me,Ian Dury and the Blockheads,1977,
Life and death,Dead Homiez,Ice Cube,1990,http://open.spotify.com/track/69lcL9wMsC5TX0gtSZxX8h
Life and death,Cher,If I Could Turn Back Time,"1,989.00",http://open.spotify.com/track/0A8HK5hV5SgywiKKrBPKDU
Love,"River Deep, Mountain High",Ike and Tina Turner,1966,http://open.spotify.com/track/4psjgB5e5HIuUeSVbEUY64
Party songs,Last Night a DJ Saved My Life,Indeep,1982,
Life and death,Good Life,Inner City,1988,http://open.spotify.com/track/5sJiLlgQKBL81QCTOkoLB5
Party songs,Flashdance,Irene Cara,1983,http://open.spotify.com/track/4H1wVutCHT8Pncz6jWjVrg
Life and death,Wish Someone Would Care,Irma Thomas,1964,http://open.spotify.com/track/4gyA9RzfJvZRw7YDDPJRZO
People and places,Rocket 88,Jackie Brenston and His Delta Cats,1951,http://open.spotify.com/track/2D4CW43Ewl0UZvrn9E2bo3
Party songs,(Your Love Keeps Lifting Me) Higher and Higher,Jackie Wilson,1967,
Sex,Get Up (I Feel Like Being a) Sex Machine,James Brown,1970,http://open.spotify.com/track/5uCdgBAqYPWQ2HGpJVGAeD
Politics and protest,Say It Loud â€“ Iâ€™m Black and Iâ€™m Proud,James Brown,1968,http://open.spotify.com/track/6SP5GXlyb0yiCCMODUjeFb
Love,The Dark End of the Street,James Carr,1967,
Sex,Baby Wants to Ride,Jamie Principle,1987,
People and places,Nights in New York City,Jan Bradley,1968,
Sex,Je Tâ€™Aime ... Moi Non Plus,Jane Birkin and Serge Gainsbourg,1969,
Party songs,Silly Games ,Janet Kay,1979,http://open.spotify.com/track/4sBBSqBIG5gnlx95QQj4XH
People and places,Me and Bobby McGee,Janis Joplin,1971,http://open.spotify.com/track/6K81RptJZZaeEkqiV6kpyv
Heartbreak,Piece of My Heart,Janis Joplin and Big Brother and the Holding Company,1968,http://open.spotify.com/track/3zfJeCCx1uDHzPNReiGqS6
Politics and protest,Running the World,Jarvis Cocker,2006,http://open.spotify.com/track/3vHqlBYlLgog7dOJn8K0Tu
Sex,Telephone Love,JC Lodge,1988,http://open.spotify.com/track/3cWpbffv5WFX2g5n99L1th
People and places,Harper Valley PTA,Jeannie C Riley ,1968,http://open.spotify.com/track/0nAHjZ9TJ6h4Hpy8lxlP6u
Sex,Whole Lotta Shakinâ€™ Goinâ€™ On,Jerry Lee Lewis,1957,http://open.spotify.com/track/3VIQihiCjAPP22iG0z0iJ9
Politics and protest,The Star-Spangled Banner,Jimi Hendrix,1969,http://open.spotify.com/track/5l3d4azo71WotmWhRc1zqM
People and places,T for Texas,Jimmie Rodgers,1928,http://open.spotify.com/track/5pOTmneH4pTmhxaSLtrTM0
People and places,Many Rivers to Cross,Jimmy Cliff,1969,http://open.spotify.com/track/1dr5J5vp2lomzdDPcv4CvG
People and places,"Bright Lights, Big City",Jimmy Reed,1961,http://open.spotify.com/track/3uNEUuL8U3RqHVyhiuD6DY
Heartbreak,What Becomes of the Broken Hearted,Jimmy Ruffin,1966,http://open.spotify.com/track/019nGMMof2yYp0zIdnbxSV
Love,Wichita Linesman,Jimmy Webb,1968,http://open.spotify.com/track/4LKUWvk6kQDJSTkxP6TUYN
Heartbreak,Diamonds and Rust,Joan Baez,1975,http://open.spotify.com/track/5lZ4Dm9BBGcCBVbfzxnyCX
Party songs,I Love Rockâ€™nâ€™Roll,Joan Jett and the Blackhearts,1982,
Heartbreak,Is She Really Going Out With Him?,Joe Jackson,1978,http://open.spotify.com/track/3P97XnD4osOqR4lRPalNPV
Life and death,Work,John Cale and Lou Reed,1990,
Politics and protest,Alabama,John Coltrane,1963,http://open.spotify.com/track/3uY3z9cO4sR256VTPpe4Kk
Life and death,My Favorite Things,John Coltrane Quartet,1961,http://open.spotify.com/track/5bKWHp2AY6aMtYMBVBL21F
Heartbreak,Jealous Guy,John Lennon,1971,
Life and death,God,John Lennon,1970,
Politics and protest,Give Peace a Chance,John Lennon,1969,
Life and death,May You Never,John Martyn,1973,http://open.spotify.com/track/47qIZIE8m5zcjmpJL7DSS9
Politics and protest,Sam Stone,John Prine,1971,
Party songs,Hang On in There Baby,Johnny Bristol,1974,http://open.spotify.com/track/03ZrvcYZGCYpimu6dYdhPY
People and places,Iâ€™m Free From the Chain Gang Now,Johnny Cash,2006,http://open.spotify.com/track/52HE6vtu3RydAcSDK3YuuN
Party songs,Cocaine Blues,Johnny Cash,1968,http://open.spotify.com/track/6ogJG0epBYDCMb37n8z637
Heartbreak,I Still Miss Someone,Johnny Cash,1959,http://open.spotify.com/track/17ULcItopPiilP1gIPrJvR
Love,I Walk the Line,Johnny Cash,1956,http://open.spotify.com/track/7wJepIHVDC88KzSyzNU1mA
People and places,Folsom Prison Blues,Johnny Cash,1955,http://open.spotify.com/track/7BuR7aWjwtMnejLYeh8FZk
Politics and protest,Suicide Is Painless (Theme from M*A*S*H),Johnny Mandel,1970,
People and places,Roadrunner,Jonathan Richman and the Modern Lovers,"1,972.00",
Love,Help Me,Joni Mitchell,"1,974.00",http://open.spotify.com/track/4gvV5Ib89fiwMtQ4biQQjd
Sex,A Case of You,Joni Mitchell,1971,http://open.spotify.com/track/42kn5anz7d6ykieCG0yIbH
Politics and protest,Big Yellow Taxi,Joni Mitchell,1970,http://open.spotify.com/track/3DYrWKfm5gYCqXyH608Lmd
Heartbreak,Love Will Tear Us Apart,Joy Division,1980,http://open.spotify.com/track/2JO3HwMRPeya8bXbtbyPcf
Party songs,Transmission,Joy Division,1979,http://open.spotify.com/track/69aXQyUnUC0BWgATlSWNB2
Love,Private Number,Judy Clay and William Bell,1968,http://open.spotify.com/track/5AdCyD1APnK7Drt81MDciC
Love,Zing! Went the Strings of My Heart,Judy Garland,1939,http://open.spotify.com/track/2vIuGZHuGRqcydnsVFC7Vp
People and places,Over the Rainbow,Judy Garland,1939,http://open.spotify.com/track/1jNQ6e4Mze7QA3hPWbTv3B
Politics and protest,All the Blowing-Themselves-Up Motherfuckers (Will Realise the Minute They Die That They Were Suckers),Julian Cope,2008,
Politics and protest,Police and Thieves,Junior Murvin,1976,http://open.spotify.com/track/3cnvTMZRhkbzea0KC4Y4We
Party songs,We Are Your Friends,Justice v Simian,2002,http://open.spotify.com/track/2iJDCXpFPwxgFO6MBozHmb
Heartbreak,Say You Will ,Kanye West,"2,008.00",http://open.spotify.com/track/57wUNWELIZOReROLzol83e
Heartbreak,Gold Digger,Kanye West,2005,http://open.spotify.com/track/5sSxgpqqZEAdwfRYVze4fU
Heartbreak,Katie Cruel,Karen Dalton,1971,
Life and death,Bertie,Kate Bush,2005,http://open.spotify.com/track/1DoPTuunqTabblM4DTXBUT
Love,The Man I Love,Kate Bush,1994,
Love,Hounds of Love,Kate Bush,1985,
Politics and protest,Army Dreamers,Kate Bush,1980,http://open.spotify.com/track/2duFyIqY9RHzOMruitwPkq
Love,The Man With the Child in His Eyes,Kate Bush,1978,http://open.spotify.com/track/4xjVfArXNQRxAvsUpjmfMt
Heartbreak,Ur So Gay,Katy Perry,2007,http://open.spotify.com/track/5monag19nA467DCEUmE7Lq
Love,Constant Craving,KD Lang,1992,http://open.spotify.com/track/77NdXr1ANwNkMEtgBNS2ZD
Life and death,Warren Zevon,Keep Me in Your Heart,2003,
Sex,Milkshake,Kelis,2003,http://open.spotify.com/track/2cMTIlktg3M9mXYqCPqw1J
Heartbreak,Caught Out There,Kelis,1999,http://open.spotify.com/track/6UJbhZER5yrbaAG66rrr4Z
Sex,"Iâ€™m Gonna Love You Just a Little More, Baby",Kellee Patterson,1976,
Heartbreak,Since U Been Gone,Kelly Clarkson,2004,http://open.spotify.com/track/07r3phrnaEUfoaauHHQXj6
Life and death,"Annie, Iâ€™m Not Your Daddy",Kid Creole and the Coconuts,1982,http://open.spotify.com/track/5paJLghWSGmEf6sY7LeYel
Sex,Sex On Fire,Kings of Leon,2008,http://open.spotify.com/track/395C2pn0PdOYPzM4B1jLoO
Sex,"Donâ€™t Come the Cowboy With Me, Sonny Jim!",Kirsty MacColl,1989,http://open.spotify.com/track/2K0gFbHUwMJqXNfm7fJnRg
Sex,Black Diamond,Kiss,1974,http://open.spotify.com/track/6ChyfMvHeIdX7vaNR249AK
Party songs,Golden Skans,Klaxons,2007,http://open.spotify.com/track/0RG6G9tAMdFRASUf31TRxr
Party songs,Numbers/Computer World 2,Kraftwerk,1981,http://open.spotify.com/track/3WgqXxHygR2HMVDjwhy3rS
People and places,Trans-Europe Express,Kraftwerk,"1,977.00",http://open.spotify.com/track/0E4dDQtMRsh2hil3J9hTMj
Sex,Help Me Make It Through the Night,Kris Kristofferson,1970,http://open.spotify.com/track/2Os4SR7qNgb6vKa6cXQSUZ
Love,Canâ€™t Get You Out of My Head,Kylie Minogue,2001,http://open.spotify.com/track/2HpWHLtZldOcDn5qzX8kb2
Sex,Lady Marmalade,Labelle,1974,http://open.spotify.com/track/3xqe6BzisHN08DOYYqTcsh
Love,It Must Be Love,Labi Siffre,1971,http://open.spotify.com/track/2kLNtPuucbm4kPhzWpuOOM
Party songs,Turn Off the Lights,Larry Young,1975,http://open.spotify.com/track/2kXBmTMIDIlNSQEeaQl95A
Party songs,Self Control,Laura Branigan,1984,http://open.spotify.com/track/4bpHayutj5AejSwtEpyvUR
Life and death,Someone Great,LCD Soundsystem,2007,http://open.spotify.com/track/2VGDntFPvgvqSiUf9ITEfW
Life and death,Losing My Edge,LCD Soundsystem,2002,http://open.spotify.com/track/57QpgJA1yNN5DyhYaN4x4p
Politics and protest,The Bourgeois Blues,Leadbelly,1938,http://open.spotify.com/track/4gMvW0NSjknhTQOsIIFIkQ
Life and death,Gallows Pole,Led Zeppelin,1970,
Sex,Whole Lotta Love,Led Zeppelin,1969,
Life and death,Working in a Coal Mine,Lee Dorsey,1966,http://open.spotify.com/track/5GR1Jj5ahZtoR6WqyM5LP4
People and places,Ramblinâ€™ Man ,Lemon Jelly,2002,http://open.spotify.com/track/6gZy5D9PMscYWMM1VdvZZx
Heartbreak,Bleeding Love,Leona Lewis,2007,http://open.spotify.com/track/6LtPIXlIzPOTF8vTecYjRe
People and places,First We Take Manhattan,Leonard Cohen,1988,http://open.spotify.com/track/6C7z72JkQtC08oKYLsz791
People and places,Chelsea Hotel #2,Leonard Cohen,1974,http://open.spotify.com/track/48WhdGNxaxHMdRxs11ampi
Heartbreak,"So Long, Marianne",Leonard Cohen,1967,http://open.spotify.com/track/75uA4upcHXXxVfaY9eYdSK
Love,Iâ€™m So in Love,Leroy Hutson,1973,http://open.spotify.com/track/7yLQMOBHYEkFkFQcEoNEpR
Heartbreak,Itâ€™s My Party,Lesley Gore,1963,http://open.spotify.com/track/4sR3U7qQAai4CI0q4zHlRW
Party songs,Pow! (Forward),Lethal Bizzle,2004,http://open.spotify.com/track/37uFAVNwaRF7XUdByyJyNN
Party songs,LFO,LFO,1990,
Sex,French Kiss,Lilâ€™ Louis,1989,
Sex,Smile,Lily Allen,2006,http://open.spotify.com/track/1elLIGWtTXFm5NSRHDa4w1
Party songs,All Night Long (All Night),Lionel Richie,1983,http://open.spotify.com/track/7HcIV2tSBj8O8RtGed2ViS
Sex,Tutti Frutti,Little Richard,1955,http://open.spotify.com/track/17nFSc5cJ3AHKt7qsGFtsz
Life and death,Oasis,Live Forever,"1,994.00",
Heartbreak,Divorce Song,Liz Phair,1993,
Life and death,Stagger Lee,Lloyd Price,1958,http://open.spotify.com/track/3CrbWMJbTlI9T4pB7p5J35
Life and death,Chris Bell,Look Up,1974,
Party songs,Is It All Over My Face,Loose Joints,1980,
People and places,London is the Place For Me,Lord Kitchener,1951,
Sex,You Ainâ€™t Woman Enough,Loretta Lynn,1966,http://open.spotify.com/track/0HIDHxooesFQ1zAZ3Vahgm
Heartbreak,Sad Song,Lou Reed,1973,
People and places,Berlin,Lou Reed,1973,
Life and death,Rufus Is a Tit Man,Loudon Wainwright III,"1,975.00",http://open.spotify.com/track/7ELRQhh1oVMPQCPUiUqrvH
Life and death,What a Wonderful World,Louis Armstrong,1968,http://open.spotify.com/track/2ZeRwblv2s82MQKvLoEzeV
Politics and protest,(What Did I Do To Be So) Black And Blue,Louis Armstrong,1929,http://open.spotify.com/track/7ogRU94YDmyoE1MkMbrddk
Life and death,St James Infirmary Blues,Louis Armstrong,1928,http://open.spotify.com/track/7J76OkHtp3A7ufswzoXdT1
People and places,Choo Choo Châ€™Boogie,Louis Jordan and His Tympany Five,1946,http://open.spotify.com/track/1bPpdLPZIi24zchWIGkI3H
Love,That Old Black Magic,Louis Prima and Keely Smith ,1959,http://open.spotify.com/track/0e7LFGPufvU4ITix9vNSuc
Life and death,Alone Again Or,Love,1967,http://open.spotify.com/track/6hXHOrhKW9dgQt35Mc5dCb
Party songs,Love Loves to Love Love,Lulu,1967,http://open.spotify.com/track/185Uc0jhEnHBZW1KYN9YCk
Heartbreak,Give Me the Reason,Luther Vandross,1986,http://open.spotify.com/track/54yoy5MG6SVPB5wdneXAW7
People and places,Sweet Home Alabama,Lynyrd Skynyrd,1974,http://open.spotify.com/track/1KZ1hkR3lxhIRW57sPaY07
Party songs,Pop Muzik,M,"1,979.00",http://open.spotify.com/track/0SHbehTzk01RfLDVAVaCtA
Party songs,Cross the Tracks (We Better Go Back),Maceo and the Macks,1975,http://open.spotify.com/track/6n87nzWTGpNr26NbkNQoVv
Party songs,There But for the Grace of God,Machine,1979,
Party songs,Beautiful Stranger,Madonna,1999,http://open.spotify.com/track/0FEVHpFTuSJUY59YQjZm2G
Sex,Justify My Love,Madonna,1990,http://open.spotify.com/track/5pIYRfMMlLw7NXg1ey8bRA
Heartbreak,Crazy For You,Madonna,1985,http://open.spotify.com/track/6idFcUh2Gc8wdtwuR0sfFN
Politics and protest,Material Girl,Madonna,1985,http://open.spotify.com/track/37HSCAcjOpQ31XRoeMCa60
Party songs,Holiday,Madonna,1983,http://open.spotify.com/track/2T8cZAwbhrTVjGwZo5c7sK
Party songs,Everybody,Madonna,1982,http://open.spotify.com/track/3i6PtDe9qmRDBEdSSpouBB
Life and death,Frankie and Johnny,Mae West,1928,
Party songs,Buffalo Gals,Malcolm McLaren,1983,http://open.spotify.com/track/4gCo2r1gCEw70OAq9cF1uW
Life and death,La Tristesse Durera (ScreamÂ to a Sigh),Manic Street Preachers,1993,http://open.spotify.com/track/0OqifMNuR0aWjFoQThlVAZ
Politics and protest,Raininâ€™ in Paradize,Manu Chao,2007,http://open.spotify.com/track/66gj35rWhKtwzTt4603exF
People and places,King of Bongo,Manu Chao,1998,
Party songs,Soul Makossa,Manu Dibango,1972,http://open.spotify.com/track/4JaOd0NUBTckYFZMguuY7M
Heartbreak,Whyâ€™d Ya Do It?,Marianne Faithfull,1979,http://open.spotify.com/track/1XZLci5bjgHM5LC1Xs1cQe
People and places,Diamonds Are a Girlâ€™s Best Friend,Marilyn Monroe,1953,http://open.spotify.com/track/0wxF2Ia8RldcEHSlEope7i
Life and death,Teen Angel,Mark Dinning,1959,
Love,Valerie,Mark Ronson featuring Amy Winehouse,2007,http://open.spotify.com/track/6wrRgHFLe5RgQLBVbnqCCe
Sex,(Love Is Like a) Heat Wave,Martha and the Vandellas,1963,http://open.spotify.com/track/1qCbiWAHRybIDOfdkzOK7e
Politics and protest,Company Policy,Martin Carthy,1988,
People and places,Scarborough Fair,Martin Carthy,1965,
Sex,Sexual Healing,Marvin Gaye,1982,http://open.spotify.com/track/6PctvwtmRSIwmTc4HtBzJT
Sex,Letâ€™s Get It On,Marvin Gaye,"1,973.00",http://open.spotify.com/track/5qAV9Xmezj2Fb2cUkZCKqS
Politics and protest,Mercy Mercy Me (The Ecology),Marvin Gaye,1971,http://open.spotify.com/track/72rvx9ydiRGPjvE9Hy1Fi5
Politics and protest,Whatâ€™s Going On?,Marvin Gaye,1971,http://open.spotify.com/track/42PyxnviKRfOa8z39g8aZj
Life and death,Save the Children,Marvin Gaye,1971,http://open.spotify.com/track/5k2Q94JSvf3gpYIibSz8I4
Heartbreak,I Heard it Through the Grapevine,Marvin Gaye,1967,http://open.spotify.com/track/27m1soUndRthrAA1ediOXn
Love,Youâ€™re All I Need to Get By,Marvin Gaye And Tammi Terrell,1968,http://open.spotify.com/track/6L7r59rN9s4mBSxZDiElTp
Love,Ainâ€™t No Mountain High Enough,Marvin Gaye And Tammi Terrell,1967,http://open.spotify.com/track/77g8V7P1MkfiPXe8Rkxm7y
Heartbreak,To Cry About,Mary Margaret Oâ€™Hara,1988,
Life and death,Safe from Harm,Massive Attack,1991,http://open.spotify.com/track/0Nj4Fadx3sCE0QtBvHKDhM
Sex,Wet Dream,Max Romeo,"1,968.00",http://open.spotify.com/track/2vV6qYsr3GAtejs2hE1dV3
Party songs,Happy,Max Sedgley,2003,http://open.spotify.com/track/4hIwQWVYQ3SMSjkVXrMJKv
Politics and protest,Kick Out the Jams,MC5,1968,http://open.spotify.com/track/3MVHpVZrmLyxvWFeN9fooF
Heartbreak,Yes,McAlmont and Butler,1995,http://open.spotify.com/track/6joAGL5IuD66Qgcz049ObW
Sex,If Thatâ€™s Your Boyfriend (He Wasnâ€™t Last Night),Meâ€™Shell Ndegeocello,1993,http://open.spotify.com/track/1VUtTNkTTkFnlHZnkS8gEf
People and places,Me and My Chauffeur Blues,Memphis Minnie,1941,http://open.spotify.com/track/1BrAqEZyBw7t4Qk5LdPq7w
People and places,Big City,Merle Haggard,1981,http://open.spotify.com/track/2a57riblxsqxe1lV33JDTf
